month_start,traffic_type,reported_passengers,share_of_reported_passengers_pct,missing_passenger_rows,missing_passenger_rows_in_month
2024-01-01,Domestic,513128,53.54,0,1
2024-01-01,International,445297,46.46,1,1
2024-02-01,Domestic,478302,50.84,0,1
2024-02-01,International,462478,49.16,1,1
2024-03-01,Domestic,486157,53.16,0,2
2024-03-01,International,428303,46.84,2,2
2024-04-01,Domestic,486494,49.71,0,1
2024-04-01,International,492072,50.29,1,1
2024-05-01,Domestic,486305,48.27,0,0
2024-05-01,International,521134,51.73,0,0
2024-06-01,Domestic,485824,44.22,0,1
2024-06-01,International,612828,55.78,1,1
2024-07-01,Domestic,532486,45.21,0,2
2024-07-01,International,645348,54.79,2,2
2024-08-01,Domestic,499496,45.26,0,1
2024-08-01,International,604106,54.74,1,1
2024-09-01,Domestic,461148,47.94,0,2
2024-09-01,International,500696,52.06,2,2
2024-10-01,Domestic,507029,51.50,0,0
2024-10-01,International,477476,48.50,0,0
2024-11-01,Domestic,542195,51.66,0,1
2024-11-01,International,507371,48.34,1,1
2024-12-01,Domestic,545450,51.04,0,0
2024-12-01,International,523183,48.96,0,0
2025-01-01,Domestic,595153,51.23,0,0
2025-01-01,International,566683,48.77,0,0
2025-02-01,Domestic,488410,49.85,0,0
2025-02-01,International,491428,50.15,0,0
2025-03-01,Domestic,524158,53.96,0,1
2025-03-01,International,447310,46.04,1,1
2025-04-01,Domestic,547978,50.35,0,1
2025-04-01,International,540336,49.65,1,1
2025-05-01,Domestic,558155,52.04,0,0
2025-05-01,International,514369,47.96,0,0
2025-06-01,Domestic,530240,48.72,0,0
2025-06-01,International,558055,51.28,0,0
2025-07-01,Domestic,601719,48.37,0,0
2025-07-01,International,642340,51.63,0,0
2025-08-01,Domestic,601941,48.75,0,1
2025-08-01,International,632881,51.25,1,1
2025-09-01,Domestic,516479,49.68,0,1
2025-09-01,International,523034,50.32,1,1
2025-10-01,Domestic,569155,52.46,0,0
2025-10-01,International,515750,47.54,0,0
